0,A distress call to the competent authorities several families stuck in their homes as a result of the high level of water in a valley in the area of ​​Hawari branch of,0
1,Youth of Al Ain,0
2,"The care of His Royal Highness Prince Khalid Salman, may Allah preserve him, the Ambassador of the Custodian of the Two Holy Mosques",0
3,Incitement to kill the governors of a state God preserves them openly,0
4,rt fricafactszone superb visionary patriotic competent iconic african heads state african thomas sankara p ,0
5,rt fricafactszone superb visionary patriotic competent iconic african heads state african thomas sankara p ,0
6,"The care of His Royal Highness Prince Khalid Salman, may Allah preserve him, the Ambassador of the Custodian of the Two Holy Mosques",0
7,"The legitimacy of the state is achieved by accounting for the killers and the thieves Return of the right to his family I think during the period of Gaddafi rule halal Starting home for the inhabitants of the land does not belong to one of the blood row Hanging by virtue of the revolutionary legitimacy to build Libya begin to account for the act and not reaction Finally,",1
8,"The care of His Royal Highness Prince Khalid Salman, may Allah preserve him, the Ambassador of the Custodian of the Two Holy Mosques",0
9,"The care of His Royal Highness Prince Khalid Salman, may Allah preserve him, the Ambassador of the Custodian of the Two Holy Mosques",0
10,rt evanalomma gaddafi constructed largest irrigation system world providing million cubic meters fre ,1
11,"The care of His Royal Highness Prince Khalid Salman, may Allah preserve him, the Ambassador of the Custodian of the Two Holy Mosques",0
12,rt fricafactszone superb visionary patriotic competent iconic african heads state african thomas sankara p ,0
13,rt ashhourii explicit incitement assassinate foreign leader allied state common goal leftie ,0
14,Incitement to kill the governors of a state God preserves them openly,0
15,rt fricafactszone superb visionary patriotic competent iconic african heads state african thomas sankara p ,0
16,rt fricafactszone superb visionary patriotic competent iconic african heads state african thomas sankara p ,0
17,Incitement to kill the governors of a state God preserves them openly,0
18,rt ashhourii explicit incitement assassinate foreign leader allied state common goal leftie ,0
19,ambridgeftd orlddementia ruknews lzassociation bloody avidcameron ibya httpsoecbronbe ,0
20,rt evanalomma gaddafi constructed largest irrigation system world providing million cubic meters fre ,1
21,rt adelon thopkins don hillary bottoms money stole haitians clean mess she ,0
22,rt fricafactszone superb visionary patriotic competent iconic african heads state african thomas sankara p ,0
23,"The care of His Royal Highness Prince Khalid Salman, may Allah preserve him, the Ambassador of the Custodian of the Two Holy Mosques",0
24,"The care of His Royal Highness Prince Khalid Salman, may Allah preserve him, the Ambassador of the Custodian of the Two Holy Mosques",0
25,Incitement to kill the governors of a state God preserves them openly,0
26,The political team of Saif al-Islam Gaddafi shows his position to run for the presidency of Libya harmony,1
27,"The care of His Royal Highness Prince Khalid Salman, may Allah preserve him, the Ambassador of the Custodian of the Two Holy Mosques",0
28,Incitement to kill the governors of a state God preserves them openly,0
29,"The care of His Royal Highness Prince Khalid Salman, may Allah preserve him, the Ambassador of the Custodian of the Two Holy Mosques",0
30,"The care of His Royal Highness Prince Khalid Salman, may Allah preserve him, the Ambassador of the Custodian of the Two Holy Mosques",0
31,rt fricafactszone superb visionary patriotic competent iconic african heads state african thomas sankara p ,0
32,Incitement to kill the governors of a state God preserves them openly,0
33,Zubaida Yulia Timoshenko asked Libya to fund its election campaign to get out Russian dependency Sputnik Ukraine Gaddafi,1
34,rt ashhourii explicit incitement assassinate foreign leader allied state common goal leftie ,0
